dataset	split	method	combination	param	prec
ucf101	1	simple_avg	('rgb', 'flow')	None	0.9151
ucf101	1	weighted_avg	('rgb', 'flow')	(5, 5)	0.9151
ucf101	1	choquet_fuzzy	('rgb', 'flow')	(25, 5)	0.9022
ucf101	2	simple_avg	('rgb', 'flow')	None	0.9127
ucf101	2	weighted_avg	('rgb', 'flow')	(15, 10)	0.9057
ucf101	2	choquet_fuzzy	('rgb', 'flow')	(20, 25)	0.9132
ucf101	3	simple_avg	('rgb', 'flow')	None	0.9177
ucf101	3	weighted_avg	('rgb', 'flow')	(15, 10)	0.9072
ucf101	3	choquet_fuzzy	('rgb', 'flow')	(5, 5)	0.9126
hmdb51	1	simple_avg	('rgb', 'flow')	None	0.6203
hmdb51	1	weighted_avg	('rgb', 'flow')	(60, 55)	0.6170
hmdb51	1	choquet_fuzzy	('rgb', 'flow')	(65, 30)	0.6196
hmdb51	2	simple_avg	('rgb', 'flow')	None	0.6229
hmdb51	2	weighted_avg	('rgb', 'flow')	(55, 50)	0.6144
hmdb51	2	choquet_fuzzy	('rgb', 'flow')	(35, 10)	0.5922
hmdb51	3	simple_avg	('rgb', 'flow')	None	0.5961
hmdb51	3	weighted_avg	('rgb', 'flow')	(15, 10)	0.5758
hmdb51	3	choquet_fuzzy	('rgb', 'flow')	(65, 5)	0.5778
ucf101	1	FC	('rgb', 'flow')	None	0.8425
ucf101	2	FC	('rgb', 'flow')	None	0.8881
ucf101	3	FC	('rgb', 'flow')	None	0.8883
hmdb51	1	FC	('rgb', 'flow')	None	0.6314
hmdb51	2	FC	('rgb', 'flow')	None	0.6261
hmdb51	3	FC	('rgb', 'flow')	None	0.5928
ucf101	1	SVM	('rgb', 'flow')	{'decision_function_shape': 'ovr', 'kernel': 'rbf', 'C': 10.0, 'gamma': 0.0001}	0.9017
ucf101	2	SVM	('rgb', 'flow')	{'decision_function_shape': 'ovr', 'kernel': 'rbf', 'C': 1.0, 'gamma': 0.001}	0.9060
ucf101	3	SVM	('rgb', 'flow')	{'decision_function_shape': 'ovr', 'kernel': 'rbf', 'C': 1.0, 'gamma': 0.001}	0.9126
hmdb51	1	SVM	('rgb', 'flow')	{'decision_function_shape': 'ovr', 'kernel': 'rbf', 'C': 10.0, 'gamma': 0.001}	0.6137
hmdb51	2	SVM	('rgb', 'flow')	{'decision_function_shape': 'ovr', 'kernel': 'rbf', 'C': 10.0, 'gamma': 0.001}	0.5993
hmdb51	3	SVM	('rgb', 'flow')	{'decision_function_shape': 'ovr', 'kernel': 'rbf', 'C': 10.0, 'gamma': 0.001}	0.5810
