	FC	SVM	choquet+AF8-fuzzy	Weighted AVG
RGB  FLOW	0.9011366886277064	0.9172614327253502	0.9069521543748348	0.9019296854348401
RGB  AVR	0.8720592259390153	0.8855405762622257	0.8625429553264605	0.8699444885011896
RGB  LVR0	0.8424530975357931	0.859370869680148	0.8556701030927835	0.8538197197991012
RGB  LVR1	0.8321438119249498	0.8720592122653978	0.8736452550885541	0.8786677240285488
RGB  LVR2	0.8128469474322576	0.8707375099127677	0.8651863600317209	0.8852762357916997
FLOW  AVR	0.8250066007270783	0.824213587100185	0.7853555379328575	0.7224425059476606
FLOW  LVR0	0.8556701012777016	0.8324081416864922	0.774781919111816	0.8482685699180544
FLOW  LVR1	0.88051811423971	0.8889770023790642	0.8823684906159133	0.8625429553264605
FLOW  LVR2	0.8791964126534478	0.8794607454401269	0.8884483214380121	0.908802537668517
AVR  LVR0	0.7615648934275834	0.7800687285223368	0.7581284694686756	0.7657943431139308
AVR  LVR1	0.7943431297421235	0.8178694158075601	0.8316151202749141	0.8429817605075337
AVR  LVR2	0.8043880706069143	0.8215701823949246	0.8228918847475548	0.7657943431139308
LVR0  LVR1	0.776103638324541	0.8017446471054719	0.788791964049696	0.8070314565159926
LVR0  LVR2	0.7938144440818583	0.8183980967486122	0.8070314565159926	0.8194554586307163
LVR1  LVR2	0.8215701780185605	0.8329368226275443	0.8310864393338621	0.8395453343906952
RGB  FLOW  AVR	0.8762886715111768	0.9209621993127147	0.9040444091990484	0.9117102828443034
RGB  FLOW  LVR0	0.891620447197636	0.9132963256674597	0.8971715569653714	0.9109172614327253
RGB  FLOW  LVR1	0.9003436380538113	0.9169970922548242	0.8963785355537933	0.8995506212001058
RGB  FLOW  LVR2	0.895056851815837	0.9183187946074544	0.9058947924927306	0.9204335183716627
RGB  AVR  LVR0	0.8887126698747312	0.9008723235527359	0.8620142743854085	0.8844832143801216
RGB  AVR  LVR1	0.8781390435110158	0.9029870473169442	0.8821041501453872	0.9040444091990484
RGB  AVR  LVR2	0.8815754502064773	0.8987575997885277	0.8844832143801216	0.8984932593180016
RGB  LVR0  LVR1	0.8813111412578748	0.880782447792757	0.8691514670896114	0.880518107322231
RGB  LVR0  LVR2	0.875759985790409	0.887390959555908	0.873380914618028	0.8844832143801216
RGB  LVR1  LVR2	0.8596352264259091	0.8818398096748612	0.8784033835580227	0.8908273856727466
FLOW  AVR  LVR0	0.8329368267013949	0.8786677240285488	0.8369019296854349	0.8628072957969866
FLOW  AVR  LVR1	0.8757600004925729	0.8998149616706318	0.8828971715569653	0.8998149616706318
FLOW  AVR  LVR2	0.8747026198747894	0.8958498546127412	0.8897700237906423	0.893735130848533
FLOW  LVR0  LVR1	0.8939994919101555	0.893735130848533	0.8688871266190854	0.8961141950832673
FLOW  LVR0  LVR2	0.8670367716003465	0.8929421094369548	0.8768173407348665	0.893735130848533
FLOW  LVR1  LVR2	0.8598995573975061	0.9043087496695744	0.8865979381443299	0.908538197197991
AVR  LVR0  LVR1	0.8559344491900636	0.8688871266190854	0.8371662701559609	0.8675654242664552
AVR  LVR0  LVR2	0.8683584679430387	0.8673010837959292	0.83055775839281	0.8633359767380386
AVR  LVR1  LVR2	0.8606925847988548	0.8778747026169706	0.8583135077980438	0.8823684906159133
LVR0  LVR1  LVR2	0.8517050237854795	0.8551414221517314	0.8406026962727994	0.8591065292096219
RGB  FLOW  AVR  LVR0	0.9056304495415926	0.9238699444885012	0.8794607454401269	0.9111816019032514
RGB  FLOW  AVR  LVR1	0.9066878257830119	0.9320644990748084	0.8966428760243194	0.922283901665345
RGB  FLOW  AVR  LVR2	0.9140893534721599	0.9262490087232356	0.9053661115516786	0.922548242135871
RGB  FLOW  LVR0  LVR1	0.8842188780842841	0.9175257731958762	0.8934707903780069	0.9193761564895585
RGB  FLOW  LVR0  LVR2	0.8924134308756768	0.9214908802537668	0.8966428760243194	0.9193761564895585
RGB  FLOW  LVR1  LVR2	0.9143536940636914	0.9236056040179752	0.8995506212001058	0.9254559873116575
RGB  AVR  LVR0  LVR1	0.8860692566990883	0.9122389637853555	0.8842188739095955	0.9045730901401005
RGB  AVR  LVR0  LVR2	0.8858049278047518	0.9066878139043087	0.8760243193232884	0.9029870473169442
RGB  AVR  LVR1  LVR2	0.9146180625268149	0.908273856727465	0.8860692572032778	0.9080095162569389
RGB  LVR0  LVR1  LVR2	0.8749669819447908	0.8924134284959028	0.8781390430874967	0.8947924927306371
FLOW  AVR  LVR0  LVR1	0.8776103536962298	0.9095955590800952	0.8754956383822363	0.9035157282579963
FLOW  AVR  LVR0  LVR2	0.9040444158341814	0.9064234734337827	0.8799894263811789	0.901136664023262
FLOW  AVR  LVR1  LVR2	0.9159397424732666	0.9167327517842981	0.8831615120274914	0.9103885804916733
FLOW  LVR0  LVR1  LVR2	0.8945281553860854	0.9053661115516786	0.8747026169706582	0.9098598995506212
AVR  LVR0  LVR1  LVR2	0.8466825263285302	0.8836901929685435	0.8572561459159397	0.8895056833201163
RGB  FLOW  AVR  LVR0  LVR1	0.9156753847191267	0.9283637324874439	0.8971715569653714	0.9206978588421887
RGB  FLOW  AVR  LVR0  LVR2	0.9143536899091704	0.9236056040179752	0.0	0.9199048374306106
RGB  FLOW  AVR  LVR1  LVR2	0.9154110569743419	0.9331218609569125	0.0	0.9275707110758658
RGB  FLOW  LVR0  LVR1  LVR2	0.9048374209906921	0.9233412635474492	0.0	0.929156753899022
RGB  AVR  LVR0  LVR1  LVR2	0.8932064584988688	0.9130319851969336	0.0	0.9143536875495638
FLOW  AVR  LVR0  LVR1  LVR2	0.9037800537641799	0.9146180280200898	0.0	0.9164684113137721
RGB  FLOW  AVR  LVR0  LVR1  LVR2	0.9162040662853737	0.9267776896642876	0.0	0.9275707110758658
